
==== T = 300 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
 232   -21.285450054209   9.796260e-01   1.556670e-01   1.898096e+00  -0.19591  0.19591      0       0 0
 233   -22.208569950425  -9.231199e-01   9.814193e-02   1.195886e+00   0.47547 -0.47547      0       0 0
 234   -22.255085890448  -4.651594e-02   4.288894e-02   5.245442e-01   0.81491 -0.81491      0       0 0
 235   -22.265075201534  -9.989311e-03   1.448362e-02   1.757990e-01   0.89783 -0.89783      0       0 0
 236   -21.285490710941   9.795845e-01   1.556440e-01   1.897818e+00  -0.19556  0.19556      0       0 0
 237   -22.208605198378  -9.231145e-01   9.811318e-02   1.195543e+00   0.47534 -0.47534      0       0 0
 238   -22.255080069140  -4.647487e-02   4.290036e-02   5.246807e-01   0.81491 -0.81491      0       0 0
 239   -22.265074196005  -9.994127e-03   1.448508e-02   1.758109e-01   0.89757 -0.89757      0       0 0
 240   -21.285529404438   9.795448e-01   1.556222e-01   1.897552e+00  -0.19524  0.19524      0       0 0
 241   -22.208638606706  -9.231092e-01   9.808592e-02   1.195217e+00   0.47521 -0.47521      0       0 0
 242   -22.255074605398  -4.643600e-02   4.291106e-02   5.248087e-01   0.81491 -0.81491      0       0 0
 243   -22.265073089188  -9.998484e-03   1.448667e-02   1.758248e-01   0.89731 -0.89731      0       0 0
 244   -21.285566200744   9.795069e-01   1.556014e-01   1.897299e+00  -0.19493  0.19493      0       0 0
 245   -22.208670254221  -9.231041e-01   9.806008e-02   1.194908e+00   0.47509 -0.47509      0       0 0
 246   -22.255069477388  -4.639922e-02   4.292110e-02   5.249287e-01   0.81490 -0.81490      0       0 0
 247   -22.265071902350  -1.000242e-02   1.448836e-02   1.758403e-01   0.89707 -0.89707      0       0 0
 248   -21.285601167491   9.794707e-01   1.555817e-01   1.897059e+00  -0.19464  0.19464      0       0 0
 249   -22.208700218652  -9.230991e-01   9.803559e-02   1.194616e+00   0.47498 -0.47498      0       0 0
 250   -22.255064664558  -4.636445e-02   4.293052e-02   5.250413e-01   0.81490 -0.81490      0       7 0
